,No Scaling,StandardScaler,MinMaxScaler,PowerTransformer,QuantileTransformer
Logistic Regression,0.7467532467532467,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7662337662337663
Decision Tree,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7532467532467533,0.7467532467532467
Random Forest,0.7337662337662337,0.7337662337662337,0.7337662337662337,0.7272727272727273,0.7337662337662337
SVM,0.7662337662337663,0.7337662337662337,0.7532467532467533,0.7662337662337663,0.7727272727272727
K-Nearest Neighbors,0.6623376623376623,0.6948051948051948,0.6818181818181818,0.7467532467532467,0.7402597402597403
Naive Bayes,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7402597402597403,0.7207792207792207
Gradient Boosting,0.7467532467532467,0.7467532467532467,0.7467532467532467,0.7467532467532467,0.7402597402597403
AdaBoost,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7792207792207793
Voting Classifier,0.7597402597402597,0.7727272727272727,0.7727272727272727,0.7792207792207793,0.7727272727272727
ANN-Small,0.6298701298701299,0.7662337662337663,0.6363636363636364,0.7142857142857143,0.6493506493506493
ANN-Medium,0.6493506493506493,0.7597402597402597,0.6428571428571429,0.7727272727272727,0.7077922077922078
ANN-Large,0.6493506493506493,0.7662337662337663,0.7792207792207793,0.7727272727272727,0.7402597402597403
ANN-Deep,0.6753246753246753,0.7467532467532467,0.7597402597402597,0.7532467532467533,0.7467532467532467
ANN-Wide,0.6298701298701299,0.7077922077922078,0.6428571428571429,0.7402597402597403,0.7142857142857143
