Technique,Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Train Samples,Minority (Train),Majority (Train)
No Resampling,Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.8201851851851851,614,214,400
No Resampling,Random Forest,0.7532467532467533,0.6739130434782609,0.5740740740740741,0.62,0.8129629629629629,614,214,400
No Resampling,AdaBoost,0.7597402597402597,0.6666666666666666,0.6296296296296297,0.6476190476190476,0.8296296296296296,614,214,400
No Resampling,SVM,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846,0.802962962962963,614,214,400
SMOTE,Logistic Regression,0.7467532467532467,0.6,0.8333333333333334,0.6976744186046512,0.8201851851851852,800,400,400
SMOTE,Random Forest,0.7597402597402597,0.6231884057971014,0.7962962962962963,0.6991869918699187,0.8208333333333333,800,400,400
SMOTE,AdaBoost,0.7402597402597403,0.5921052631578947,0.8333333333333334,0.6923076923076923,0.8274074074074074,800,400,400
SMOTE,SVM,0.6948051948051948,0.5443037974683544,0.7962962962962963,0.6466165413533834,0.7892592592592592,800,400,400
Random Over Sampler,Logistic Regression,0.7402597402597403,0.5897435897435898,0.8518518518518519,0.696969696969697,0.8218518518518518,800,400,400
Random Over Sampler,Random Forest,0.7467532467532467,0.6229508196721312,0.7037037037037037,0.6608695652173913,0.8148148148148148,800,400,400
Random Over Sampler,AdaBoost,0.7532467532467533,0.6111111111111112,0.8148148148148148,0.6984126984126984,0.8347222222222224,800,400,400
Random Over Sampler,SVM,0.7142857142857143,0.5625,0.8333333333333334,0.6716417910447762,0.8077777777777778,800,400,400
